ID,kode,NAMA ITEM DATA,Provinsi,Kabupaten,Alamat,LATITUDE,LONGITUDE,Jenis Museum,Tipe Museum,Pengelola,Foto,Pulau Jawa,Luar Jawa,Pengunjung
1,1,Museum Keprajuritan Indonesia,jakarta,jakarta timur," Jl. Raya Taman Mini, Ceger, Kec. Cipayung, Kota Jakarta Timur",-6.305699242,106.8962541,Museum Khusus,Tipe B,Badan Pelaksana Pengelola Taman Mini Indonesia Indah,lihat foto,Banten,,17000
2,2,Museum Layang-layang Indonesia,jakarta,jakarta selatan,"Jl. H. Kamang No.38 8, RT.8/RW.10, Pd. Labu, Kec. Cilandak",-6.306903489,106.7927276,Museum Khusus,Tipe C,Museum Layang-Layang,lihat foto,DKI Jakarta,,798
3,3,Museum Listrik dan Energi Baru,jakarta,jakarta timur,"Jl. Kramat Jati, Pinang Ranti, Kec. Cipayung, Kota Jakarta Timur",-6.303097058,106.9054561,Museum khusus,Tipe A,PT.PLN (PERSERO) PUSAT-PUSDIKLAT,lihat foto,Jawa Barat,,800
4,4,Museum Macan (Modern and Contemporary Art in Nusantara),jakarta,Jakarta Barat,"Jl. Panjang No.5, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat",-6.190936731,106.7688441,Museum Khusus,Tipe A,Yayasan Museum MACAN,lihat foto,Jawa Tengah,,400
5,5,Museum Mandiri,Jakarta,Jakarta Barat,"Jl. Lapangan Stasiun No.1, RT.3/RW.6, Pinangsia, Kec. Taman Sari",-6.137343243,106.81545,Museum Khusus,Tipe A,Bank Mandiri,lihat foto,DI Yogyakarta,,7500
6,6,Museum MH. Thamrin,jakarta,kota jakarta Pusat,"Jl. Kenari 2 No.15, RW.4, Kenari",-6.193419905,106.8506003,Museum Khusus,Tipe C,Unit Pengelola Museum Kesejahteraan Jakarta,lihat foto,Jawa Timur,,3000
7,7,Museum Nasional Indonesia,jakarta,kota jakarta Pusat,"Jl. Medan Merdeka Barat No.12, Gambir",-6.175506108,106.8245942,Museum Umum,Tipe A,UPT Museum Nasional,lihat foto,,,12000
8,8,Bayt Al-Qur’an dan Museum Istiqlal,Jakarta,Jakarta Timur,Jl.RayaTaman Mini Indonesia Indah Pintu 1,-6.302470282,106.8884634,Museum Khusus,Tipe C,"Lajnah Pentashihan Mushaf Al-Qur'an,Badan Litbang dan Diklat Kementrian Agama",lihat foto,,,1200
9,9,Galeri Foto Jurnalistik Antara, Jakarta,Jakarta Pusat,"Jl.Antara N0.59,Pasar Baru,Jakarta Pusat",-6.165325492,106.8344265,Museum Khusus,Tipe B,Perum Lembaga Kantor Berita Nasional ,lihat foto,,,3000
10,10,Galeri Nasional Indonesia,Jakarta,kota Jakarta Pusat,"Jl.Medan Merdeka Timur No.14, Gambir, Jakarta Pusat.",-6.177737544,106.8336299,Museum Khusus,Tipe A,Kementrian Pendidikan dan Kebudayaan,lihat foto,,,5120
11,11,Monumen Pancasila Sakti,Jakarta,Jakarta Timur,"Jl. Raya Pondok Gede, Lubang Buaya, Kec Cipayung",-6.28489235,106.9048104,Museum Khusus,Tipe B,Pusat Sejarah Tentara Nasional Indonesia,lihat foto,,,3120
12,12,Museum Anatomi Universitas Katolik (Unika) Atmajaya,Jakarta,Jakarta Selatan,"Jl. Pluit Selatan Raya No.19, RT.16/RW.8, Penjaringan, Kec. Penjaringan",-6.124924339,106.794175,Museum Khusus,Tipe C,Fakultas Kedokteran Universitas Katolik Atma Jaya,lihat foto,,,6000
13,13,Museum Asmat TMII,Jakarta,Jakarta Timur,"Taman Mini Indonesia Indah (TMII), Jakarta Timur, DKI Jakarta 13560",-6.305456471,106.8943518,Museum Khusus,Tipe B,Yayasan Taman Mini Indonesia Indah,lihat foto,,,500
14,14,Museum Bahari,Jakarta,jakarta utara,"Jl. Pasar Ikan No.1, Penjaringan",-6.126101895,106.8068733,Museum Khusus,Tipe A,Dinas Kebudayaan Provinsi DKI Jakarta,lihat foto,,,400
15,15,Museum Bank Indonesia,Jakarta,Jakarta Barat,"Jl.Besar Utara No. 3, Pinangsia, Kecamatan Taman Sari,",-6.136466559,106.8106243,Museum Khusus,Tipe A,Direktorat Komunikasi Indonesia,lihat foto,,,13000
16,16,Museum Basoeki Abdullah ,Jakarta,Jakarta Selatan,JL.Keuangan Raya No. 19 Cilandak Barat,-6.288929702,106.7949099,Museum Khusus,Tipe A,UPT Museum Basoeki Abdullah,lihat foto,,,12000
17,17,Museum Benda-Benda Alkitab Yerushalayim,Jakarta,jakarta utara,"JL. Raya Jl. Sengon No.54, RT.1/RW.022, Klp. Gading Bar., Kec. Klp. Gading",-6.14158422,106.9022758,Museum Khusus,Belum Memenuhi Standar,Kementerian Pendidikan dan Kebudayaan,lihat foto,,,300
18,18,Museum BNI 1946,Jakarta,Jakarta Barat,"Jl. Lada No.27, RT.4/RW.6, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat",-6.1359522,106.8155098,Museum Khusus,Belom di standarisasi,PT Bank Negara Indonesia,lihat foto,,,11000
19,19,Museum Ciputra Artpreneur,Jakarta,Jakarta Selatan,"Jl. Prof. DR. Satrio No.Kav. 3-5 Level 11, Kuningan, Karet Kuningan",-6.223872909,106.8228128,Museum Khusus,Belum  Memenuhi standar,Citra Art Management,lihat foto,,,10000
20,20,Museum Dharma Bhakti Kostrad,Jakarta,Jakarta Timur,"Jl. Cilangkap, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13870",-6.316968784,106.9137891,Museum Khusus,Tipe B,Komando Strategis Angkatan Darat,lihat foto,,,4000
21,21,Museum di Tengah Kebun,Jakarta,Jakarta Selatan,"Jl. Kemang Timur No.66 7, RT.7/RW.3, Bangka, Kec. Mampang Prpt",-6.266873117,106.8259953,Museum Swasta,Belum Memenuhi Standar,Mirza Djalil,lihat foto,,,20000
22,22,Museum DPR RI,Jakarta,Jakarta Pusat," Jl. Gatot Subroto Lantai 2, Gelora, Kecamatan Tanah Abang",-6.210167337,106.8003328,Museum Khusus,Tipe B,Sekretariat Jenderal Dewan Perwakilan Rakyat Republik Indonesia,lihat foto,,,16000
23,23,Museum Fauna Indonesia “Komodo” dan Taman Reptilia,Jakarta,Jakarta Timur,"Jl. Taman Mini Indonesia Indah, RW.2, Ceger, Kec. Cipayung",-6.303598906,106.9016491,Museum Khusus,Tipe C,Yayasan Harapan Kita,lihat foto,,,32000
24,24,Museum Graha Widya Patra (Minyak dan Gas Bumi),Jakarta,Jakarta Timur,"Jl. Taman Mini Indonesia Indah, Bambu Apus, Kec. Cipayung",-6.302075408,106.9054797,Museum Khusus,Tipe B,PT Pertamina,lihat foto,,,800
25,25,Museum Hakka Indonesia,Jakarta,Jakarta Timur," Jl.Raya Taman Mini, Ceger, Kecamatan Cipayung ",-6.305094859,106.904697,Museum Khusus,Tipe B,Yayasan Hakka Indonesia Sejahtera,lihat foto,,,400
26,26,Museum Harry Darsono,Jakarta,Jakarta Selatan,"Jl. Cilandak Tengah Raya No.71, RT.2/RW.13, Cilandak Bar., Kec. CilandaK",-6.288785879,106.8007581,Museum Pribadi,Belum Memenuhi Standar,"Sir Dr. Harry Darsono, PhD,",lihat foto,,,12000
27,27,Museum Indonesia,Jakarta,Jakarta Timur,"Jl. Taman Mini Indonesia Indah, Ceger, Kec. Cipayung",-6.300460132,106.8943625,Museum Khusus,Tipe B,PT Bhumi Visatanda Indonesia,lihat foto,,,25000
28,28,Museum Jenderal Besar Dr. A.H. Nasution,Jakarta,kota Jakarta Pusat,"Jl. Teuku Umar No.40, RT.1/RW.1, Gondangdi, Kec. Menteng",-6.192950528,106.8332868,Museum Khusus,Tipe C,Dinas Sejarah TNI AD,lihat foto,,,45000
29,29,Museum Joang 45 ,Jakarta,kota Jakarta Pusat,"Jl. Menteng Raya No.31, RT.01/RW.10 Kebon Sirih, Menteng,",-6.185082794,106.8390751,Museum Khusus,Tipe C,Unit Pengelola Museum Kesejahteraan Jakarta,lihat foto,,,1200
30,30,Museum Katedral Jakarta,Jakarta,kota Jakarta Pusat,"Jl. Katedral, Ps. Baru, Kecamatan Sawah Besar",-6.168100562,106.8378044,Museum Khusus,Tipe B,Paroki Gereja Katedral Jakarta,lihat foto,,,3120
31,31,Museum Kebangkitan Nasional,Jakarta,kota Jakarta Pusat,"Jl. Abdul Rachman Saleh No.26, Senen, Kec. Senen, Kota Jakarta Pusat",-6.177814946,106.8404626,Museum Khusus,Tipe A,Museum Kebangkitan Nasional,lihat foto,,,6000
32,32,Museum Kehutanan “Ir. Djamaludin Suryohadikusumo,Jakarta,Jakarta Selatan,Jl.Gatot Subroto,-6.206594328,106.7991724,Museum Khusus,Tipe C,Kementrian Lingkungan Hidup dan Kehutanan,lihat foto,,,500
33,33,Museum Olahraga Nasional,jakarta,kota jakarta timur,"Jl. Hankam Raya No.8, RT.1/RW.2, Ceger, Kec. Cipayung, Kota Jakarta Timur",-6.304085317,106.8893333,Museum Khusus,Tipe B,Kementrian Pemuda Dan Olahraga,lihat foto,,,400
34,34, Museum Pemadam Kebakaran,jakarta,jakarta timur,"Jl. Komp. TMII Pintu 3, Lubang Buaya, Kec. Cipayung",-6.294476982,106.9360618,Museum Khusus,Tipe C,Dinas Penanggulangan dan Penyelamatan Provinsi DKI Jakarta,lihat foto,,,13000
35,35, Museum Penerangan,jakarta,jakarta timur,Jl. Taman Mini Indonesia Indah,-6.299314613,106.8939319,Museum Khusus,Tipe A,Kementrian Komunikasi dan Informatika,lihat foto,,,12000
36,36,Museum Perumusan Naskah Proklamasi,jakarta,kota Jakarta Pusat,"Jl. Imam Bonjol No.1, RT.9/RW.4, Menteng, Kec. Menteng",-6.19953172,106.8351548,Museum Khusus,Tipe B,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi Republik Indonesia",lihat foto,,,300
37,37,Museum Polri,jakarta,jakarta selatan,"Jl. Trunojoyo No.3, RT.5/RW.2, Selong, Kec. Kby. Baru",-6.23929838,106.8031497,Museum Khusus,Tipe C,Museum Polisi Republik Indonesia,lihat foto,,,11000
38,38,Museum Prangko,jakarta,jakarta timur,"Jl.Taman Mini Indonesia Indah, Jalan Taman Mini Indonesia Indah",-6.303970814,106.9022768,Museum Khusus,Tipe C,PT.Pos Indonesia,lihat foto,,,10000
39,39,Museum Prasasti Jakarta,jakarta,kota jakarta Pusat,"Jl. Tanah Abang I No.1, RT.11/RW.8, Petojo Sel., Kecamatan Gambir",-6.171840101,106.8174245,Museum Khusus,Tipe C,"Unit Pengelola Museum Seni, Dinas Kebudayaan Provinsi DKI Jakarta",lihat foto,,,32000
