fid	Museum_ID	Museum_kod	Museum_NAM	Museum_Pro	Museum_Kab	Museum_Ala	Museum_LAT	Museum_LON	Museum_Jen	Museum_Tip	Museum_Pen	Museum_Fot	Museum_P_1	Museum_Kar
1	"1"	"1"	Museum Keprajuritan Indonesia	jakarta	jakarta timur	"Jl. Raya Taman Mini, Ceger, Kec. Cipayung, Kota Jakarta Timur"	-6.305699242000000	106.896254099999993	Museum Khusus	Tipe B	Badan Pelaksana Pengelola Taman Mini Indonesia Indah	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\1.jpg	17000.000000000000000	10.000000000000000
2	"2"	"2"	Museum Layang-layang Indonesia	jakarta	jakarta selatan	"Jl. H. Kamang No.38 8, RT.8/RW.10, Pd. Labu, Kec. Cilandak"	-6.306903489000000	106.792727600000006	Museum Khusus	Tipe C	Museum Layang-Layang	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\2.jpg	798.000000000000000	23.000000000000000
3	"3"	"3"	Museum Listrik dan Energi Baru	jakarta	jakarta timur	"Jl. Kramat Jati, Pinang Ranti, Kec. Cipayung, Kota Jakarta Timur"	-6.303097058000000	106.905456099999995	Museum khusus	Tipe A	PT.PLN (PERSERO) PUSAT-PUSDIKLAT	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\3.jpg	800.000000000000000	54.000000000000000
4	"4"	"4"	Museum Macan (Modern and Contemporary Art in Nusantara)	jakarta	Jakarta Barat	"Jl. Panjang No.5, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat"	-6.190936731000000	106.768844099999995	Museum Khusus	Tipe A	Yayasan Museum MACAN	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\4.jpg	400.000000000000000	6.000000000000000
5	"5"	"5"	Museum Mandiri	Jakarta	Jakarta Barat	"Jl. Lapangan Stasiun No.1, RT.3/RW.6, Pinangsia, Kec. Taman Sari"	-6.137343243000000	106.815449999999998	Museum Khusus	Tipe A	Bank Mandiri	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\5.jpg	7500.000000000000000	7.000000000000000
6	"6"	"6"	Museum MH. Thamrin	jakarta	kota jakarta Pusat	"Jl. Kenari 2 No.15, RW.4, Kenari"	-6.193419905000000	106.850600299999996	Museum Khusus	Tipe C	Unit Pengelola Museum Kesejahteraan Jakarta	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\6.jpg	3000.000000000000000	15.000000000000000
7	"7"	"7"	Museum Nasional Indonesia	jakarta	kota jakarta Pusat	"Jl. Medan Merdeka Barat No.12, Gambir"	-6.175506108000000	106.824594200000007	Museum Umum	Tipe A	UPT Museum Nasional	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\7.jpg	12000.000000000000000	25.000000000000000
8	"8"	"8"	Bayt Al-Qur’an dan Museum Istiqlal	Jakarta	Jakarta Timur	Jl.RayaTaman Mini Indonesia Indah Pintu 1	-6.302470282000000	106.888463400000006	Museum Khusus	Tipe C	"Lajnah Pentashihan Mushaf Al-Qur'an,Badan Litbang dan Diklat Kementrian Agama"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\8.jpg	1200.000000000000000	56.000000000000000
9	"9"	"9"	Galeri Foto Jurnalistik Antara	Jakarta	Jakarta Pusat	"Jl.Antara N0.59,Pasar Baru,Jakarta Pusat"	-6.165325492000000	106.834426500000006	Museum Khusus	Tipe B	Perum Lembaga Kantor Berita Nasional	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\9.jpg	3000.000000000000000	45.000000000000000
10	"10"	"10"	Galeri Nasional Indonesia	Jakarta	kota Jakarta Pusat	"Jl.Medan Merdeka Timur No.14, Gambir, Jakarta Pusat."	-6.177737544000000	106.833629900000005	Museum Khusus	Tipe A	Kementrian Pendidikan dan Kebudayaan	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\10.jpg	5120.000000000000000	34.000000000000000
